Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
64,3,840.08,3,2,2,7
27,1,116.00999999999999,3,1,1,5
8,5,426.81,4,3,2,9
400,1,69.6,1,1,1,3
4,13,2620.5,4,4,4,12
16,12,9494.84,4,4,4,12
554,4,793.1,1,3,2,6
46,1,492.84,3,1,2,6
65,2,512.2,3,2,2,7
26,25,13997.89,3,4,4,11
619,1,572.3100000000001,1,1,2,4
607,1,86.10000000000001,1,1,1,3
381,1,359.69,2,1,2,5
45,1,121.18,3,1,1,5
8,18,7010.88,4,4,4,12
15,12,1648.79,4,4,3,11
268,1,71.4,2,1,1,4
40,5,1539.69,3,3,3,9
337,5,348.31,2,3,2,7
11,1,114.60000000000001,4,1,1,6
19,2,260.68,4,2,1,7
544,4,518.76,1,3,2,6
658,1,164.69,1,1,1,3
95,8,2544.53,3,3,4,10
61,1,117.88,3,1,1,5
136,2,472.78,2,2,2,6
414,1,172.38,1,1,1,3
11,8,3059.64,4,3,4,11
610,1,373.01000000000005,1,1,2,4
10,12,4912.28,4,4,4,12
4,69,16404.98,4,4,4,12
19,4,870.09,4,3,3,10
502,4,1240.6100000000001,1,3,3,7
379,8,1571.35,2,3,3,8
10,11,2630.55,4,4,4,12
731,1,966.6600000000001,1,1,3,5
443,1,2803.2,1,1,4,6
400,15,8280.13,1,4,4,9
15,4,535.86,4,3,2,9
59,10,1970.5,3,4,3,10
30,16,8438.06,3,4,4,11
94,1,353.48,3,1,2,6
10,12,2706.87,4,4,4,12
9,4,780.58,4,3,2,9
57,14,3834.62,3,4,4,11
418,7,3264.23,1,3,4,8
402,1,81.6,1,1,1,3
268,1,333.74,2,1,2,5
122,6,266.12,2,3,1,6
127,1,62.63999999999999,2,1,1,4
618,1,76.23,1,1,1,3
78,5,1336.0900000000001,3,3,3,9
240,2,847.41,2,2,3,7
577,1,88.5,1,1,1,3
200,6,969.1200000000001,2,3,3,8
60,3,2150.85,3,2,3,8
3,17,15879.27,4,4,4,12
273,2,312.46,2,2,1,5
202,1,257.7,2,1,1,4
81,1,358.0,3,1,2,6
226,1,160.95,2,1,1,4
4,31,6317.22,4,4,4,12
546,1,-355.2,1,1,1,3
13,7,1357.6,4,3,3,10
74,4,1176.46,3,3,3,9
673,2,356.95,1,2,2,5
212,2,101.17000000000007,2,2,1,5
25,3,727.27,4,2,2,8
388,1,643.0,1,1,2,4
11,7,986.73,4,3,3,10
262,6,1579.84,2,3,3,8
96,9,1661.17,3,4,3,10
412,1,115.58,1,1,1,3
112,7,699.4,2,3,2,7
203,5,1278.04,2,3,3,8
93,1,121.74000000000001,3,1,1,5
51,2,989.22,3,2,3,8
18,14,3277.68,4,4,4,12
18,4,501.12,4,3,2,9
125,2,465.68,2,2,2,6
92,9,1608.93,3,4,3,10
453,3,248.54000000000002,1,2,1,4
402,1,252.68,1,1,1,3
394,3,341.3,1,2,2,5
157,4,2951.11,2,3,4,9
376,1,51.410000000000004,2,1,1,4
4,4,895.61,4,3,3,10
14,1,0.0,4,1,1,6
428,3,117.95,1,2,1,4
12,5,1035.18,4,3,3,10
62,9,1433.38,3,4,3,10
61,1,557.62,3,1,2,6
269,2,944.1,2,2,3,7
263,3,573.45,2,2,2,6
1,39,8704.69,4,4,4,12
443,1,722.5600000000001,1,1,2,4
53,5,2107.66,3,3,3,9
11,30,5965.3,4,4,4,12
3,50,9512.210000000001,4,4,4,12
18,15,3167.64,4,4,4,12
1,30,8861.39,4,4,4,12
366,1,1180.0,2,1,3,6
37,2,178.26,3,2,1,6
31,2,276.56,3,2,1,6
113,1,138.98,2,1,1,4
409,1,360.85,1,1,2,4
384,2,241.66,1,2,1,4
64,7,1918.56,3,3,3,9
16,7,523.3,4,3,2,9
41,5,1428.2,3,3,3,9
64,2,126.30000000000001,3,2,1,6
122,8,2297.13,2,3,4,9
437,3,306.45,1,2,1,4
18,7,1228.89,4,3,3,10
60,4,373.36,3,3,2,8
323,2,196.15,2,2,1,5
23,6,3364.59,4,3,4,11
600,1,734.91,1,1,2,4
583,7,519.67,1,3,2,6
443,6,892.16,1,3,3,7
724,1,307.95,1,1,1,3
431,3,-208.63,1,2,1,4
156,11,3320.84,2,4,4,10
39,6,987.79,3,3,3,9
392,7,1180.34,1,3,3,7
190,3,1689.53,2,2,3,7
360,9,1058.02,2,4,3,9
137,6,792.51,2,3,2,7
8,8,4352.67,4,3,4,11
1,1,360.0,4,1,2,7
268,5,1173.3,2,3,3,8
165,5,1267.21,2,3,3,8
104,4,618.09,2,3,2,7
155,2,159.2,2,2,1,5
400,1,61.72,1,1,1,3
351,7,1120.79,2,3,3,8
4,16,3754.71,4,4,4,12
430,1,53.65,1,1,1,3
120,3,273.34,2,2,1,5
23,5,1652.47,4,3,3,10
7,6,1706.3700000000001,4,3,3,10
9,8,1492.8,4,3,3,10
4,2,598.57,4,2,2,8
451,1,124.75,1,1,1,3
22,15,3423.27,4,4,4,12
2,4,578.66,4,3,2,9
689,1,310.26,1,1,1,3
37,12,12906.93,3,4,4,11
64,31,6068.531,3,4,4,11
1,3,640.76,4,2,2,8
5,78,21706.09,4,4,4,12
70,9,2160.95,3,4,3,10
72,2,567.36,3,2,2,7
17,1,199.48000000000002,4,1,1,6
3,5,787.85,4,3,2,9
32,23,10421.369999999999,3,4,4,11
82,1,675.3,3,1,2,6
432,1,281.76,1,1,1,3
39,22,9741.03,3,4,4,11
316,1,1308.48,2,1,3,6
32,14,4977.0199999999995,3,4,4,11
93,6,2806.18,3,3,4,10
402,1,262.4,1,1,1,3
14,1,350.9,4,1,2,7
411,3,1015.74,1,2,3,6
82,6,6257.0,3,3,4,10
540,1,-955.06,1,1,1,3
77,1,795.12,3,1,2,6
519,2,1548.55,1,2,3,6
154,10,2223.62,2,4,4,10
201,1,860.12,2,1,3,6
45,12,22100.56,3,4,4,11
261,1,775.85,2,1,2,5
582,1,-14.100000000000001,1,1,1,3
173,2,303.93,2,2,1,5
68,3,2543.72,3,2,4,9
277,2,377.6,2,2,2,6
463,6,299.4,1,3,1,5
70,1,341.36,3,1,2,6
64,1,233.76,3,1,1,5
11,1,247.32,4,1,1,6
16,3,910.72,4,2,3,9
66,1,373.94,3,1,2,6
8,2,389.28,4,2,2,8
389,1,-28.849999999999998,1,1,1,3
71,1,743.53,3,1,2,6
122,1,674.7,2,1,2,5
80,1,768.24,3,1,2,6
257,5,3838.36,2,3,4,9
269,1,439.03,2,1,2,5
59,4,1001.96,3,3,3,9
428,7,1464.1,1,3,3,7
472,2,1450.5,1,2,3,6
3,10,5357.57,4,4,4,12
18,3,1723.86,4,2,3,9
67,2,0.0,3,2,1,6
9,4,2164.32,4,3,3,10
50,1,56.160000000000004,3,1,1,5
432,1,510.20000000000005,1,1,2,4
257,5,1086.1,2,3,3,8
354,2,572.03,2,2,2,6
366,2,1442.64,2,2,3,7
499,4,2271.46,1,3,4,8
90,1,378.64,3,1,2,6
61,6,7587.1900000000005,3,3,4,10
415,2,422.8,1,2,2,5
81,3,1786.48,3,2,3,8
99,3,1019.76,2,2,3,7
397,4,1495.43,1,3,3,7
423,1,-756.4,1,1,1,3
26,3,572.56,3,2,2,7
433,1,62.4,1,1,1,3
21,15,8185.02,4,4,4,12
281,5,1387.58,2,3,3,8
544,1,305.28000000000003,1,1,1,3
31,15,6635.09,3,4,4,11
330,1,534.57,2,1,2,5
414,2,835.46,1,2,2,5
417,1,189.44,1,1,1,3
121,4,1135.7,2,3,3,8
11,3,797.96,4,2,2,8
75,1,544.08,3,1,2,6
204,1,59.8,2,1,1,4
677,1,91.14,1,1,1,3
584,6,1105.85,1,3,3,7
2,24,6323.88,4,4,4,12
185,3,1180.23,2,2,3,7
22,4,1325.29,4,3,3,10
73,13,3094.11,3,4,4,11
192,2,670.34,2,2,2,6
464,3,275.4,1,2,1,4
574,2,300.93,1,2,1,4
624,1,-1834.14,1,1,1,3
127,4,1535.13,2,3,3,8
18,3,229.5,4,2,1,7
1,2,252.49,4,2,1,7
74,9,1196.561,3,4,3,10
427,3,557.22,1,2,2,5
579,6,2111.89,1,3,3,7
2,135,50852.852,4,4,4,12
624,1,-525.65,1,1,1,3
9,12,2172.51,4,4,3,11
107,1,213.55,2,1,1,4
620,1,487.34999999999997,1,1,2,4
640,8,345.8,1,3,2,6
134,7,2482.24,2,3,4,9
473,5,681.92,1,3,2,6
44,3,940.8000000000001,3,2,3,8
5,7,1593.89,4,3,3,10
12,37,11916.16,4,4,4,12
64,1,221.06,3,1,1,5
135,4,140.35,2,3,1,6
40,11,4088.82,3,4,4,11
51,2,2601.55,3,2,4,9
429,1,217.03,1,1,1,3
444,2,557.92,1,2,2,5
108,8,3375.9300000000003,2,3,4,9
1,24,8076.76,4,4,4,12
19,6,1006.53,4,3,3,10
10,3,499.98,4,2,2,8
11,4,1006.8,4,3,3,10
19,4,648.6899999999999,4,3,2,9
67,9,3289.24,3,4,4,11
571,2,439.1,1,2,2,5
437,5,656.87,1,3,2,6
74,5,1666.8600000000001,3,3,3,9
5,11,4459.83,4,4,4,12
2,1,196.89,4,1,1,6
14,7,3408.06,4,3,4,11
547,1,46.5,1,1,1,3
255,3,986.61,2,2,3,7
423,10,1213.95,1,4,3,8
92,2,720.9,3,2,2,7
667,3,419.87,1,2,2,5
449,7,1247.71,1,3,3,7
374,2,631.6800000000001,2,2,2,6
626,1,241.89999999999998,1,1,1,3
420,18,3608.86,1,4,4,9
23,4,1104.23,4,3,3,10
17,19,8447.75,4,4,4,12
24,1,291.88,4,1,1,6
27,14,4117.54,3,4,4,11
26,13,7119.97,3,4,4,11
259,3,729.8,2,2,2,6
166,5,758.99,2,3,2,7
641,1,219.87,1,1,1,3
25,11,2773.82,4,4,4,12
18,7,1737.8200000000002,4,3,3,10
689,4,143.27,1,3,1,5
7,24,11850.62,4,4,4,12
625,2,1160.4099999999999,1,2,3,6
29,2,183.44,3,2,1,6
39,8,4138.5,3,3,4,10
183,6,1145.6,2,3,3,8
420,1,-158.65,1,1,1,3
58,7,3083.89,3,3,4,10
446,2,931.12,1,2,3,6
100,7,952.25,2,3,3,8
11,2,1083.71,4,2,3,9
2,87,13091.61,4,4,4,12
653,1,82.4,1,1,1,3
99,2,165.0,2,2,1,5
1,4,2531.58,4,3,4,11
464,2,592.24,1,2,2,5
61,10,2410.98,3,4,4,11
236,3,663.79,2,2,2,6
191,4,1431.78,2,3,3,8
179,7,1915.77,2,3,3,8
38,13,2821.12,3,4,4,11
469,7,2068.03,1,3,3,7
198,7,808.5,2,3,2,7
417,2,627.82,1,2,2,5
46,14,3798.84,3,4,4,11
232,2,336.09,2,2,2,6
66,1,140.34,3,1,1,5
241,4,767.32,2,3,2,7
233,15,2957.92,2,4,4,10
78,3,1122.41,3,2,3,8
58,5,846.87,3,3,3,9
17,29,15513.73,4,4,4,12
105,4,449.52,2,3,2,7
654,1,154.25,1,1,1,3
52,27,4566.56,3,4,4,11
136,3,1269.84,2,2,3,7
275,2,618.63,2,2,2,6
312,1,316.26000000000005,2,1,1,4
8,13,5246.61,4,4,4,12
11,3,617.93,4,2,2,8
283,7,1266.33,2,3,3,8
730,1,327.38,1,1,2,4
18,7,1146.96,4,3,3,10
23,5,1436.3,4,3,3,10
243,5,2840.26,2,3,4,9
17,6,774.6,4,3,2,9
71,12,1793.54,3,4,3,10
64,1,295.93,3,1,1,5
68,8,4282.88,3,3,4,10
312,8,1609.65,2,3,3,8
3,4,2479.16,4,3,4,11
244,2,287.05,2,2,1,5
9,8,1114.72,4,3,3,10
1,17,4488.39,4,4,4,12
484,2,244.61,1,2,1,4
261,4,713.39,2,3,2,7
127,4,796.99,2,3,2,7
74,4,815.9000000000001,3,3,2,8
73,6,1265.82,3,3,3,9
21,4,1685.26,4,3,3,10
60,5,2109.07,3,3,3,9
86,1,659.4399999999999,3,1,2,6
50,3,331.26,3,2,2,7
59,15,6680.65,3,4,4,11
1,3,1093.65,4,2,3,9
30,1,125.80000000000001,3,1,1,5
33,7,4892.02,3,3,4,10
41,5,680.1800000000001,3,3,2,8
15,2,628.78,4,2,2,8
738,4,942.5999999999999,1,3,3,7
34,14,4650.04,3,4,4,11
682,1,-40.0,1,1,1,3
79,2,307.76,3,2,1,6
634,1,402.97999999999996,1,1,2,4
205,6,1738.52,2,3,3,8
34,1,210.31,3,1,1,5
183,3,270.79,2,2,1,5
2,60,7324.5,4,4,4,12
403,1,89.5,1,1,1,3
1,7,3448.29,4,3,4,11
426,2,717.85,1,2,2,5
43,12,3112.73,3,4,4,11
86,9,1531.26,3,4,3,10
467,3,632.39,1,2,2,5
423,3,717.9,1,2,2,5
377,18,3970.77,2,4,4,10
634,2,1439.6100000000001,1,2,3,6
40,7,820.5,3,3,2,8
391,3,347.35,1,2,2,5
12,5,1092.14,4,3,3,10
408,1,175.53,1,1,1,3
96,3,908.99,3,2,3,8
26,9,1003.72,3,4,3,10
383,1,349.51,1,1,2,4
319,2,244.2,2,2,1,5
66,32,6618.63,3,4,4,11
675,1,517.8,1,1,2,4
380,10,1556.3899999999999,2,4,3,9
74,16,8906.34,3,4,4,11
429,2,200.82,1,2,1,4
28,16,2980.08,3,4,4,11
6,4,605.06,4,3,2,9
513,2,990.0,1,2,3,6
7,1,174.37,4,1,1,6
216,11,1820.72,2,4,3,9
82,8,4838.18,3,3,4,10
84,2,777.53,3,2,2,7
144,54,15786.720000000001,2,4,4,10
19,3,414.8,4,2,2,8
41,5,1708.1200000000001,3,3,3,9
428,5,1078.59,1,3,3,7
173,1,192.85,2,1,1,4
17,4,893.78,4,3,3,10
243,1,239.49,2,1,1,4
13,26,4546.54,4,4,4,12
206,1,1384.25,2,1,3,6
50,6,916.47,3,3,3,9
411,1,421.25,1,1,2,4
23,5,732.0699999999999,4,3,2,9
10,32,11516.15,4,4,4,12
25,14,3346.62,4,4,4,12
409,1,147.66,1,1,1,3
15,6,1535.84,4,3,3,10
406,1,107.75,1,1,1,3
309,2,280.53000000000003,2,2,1,5
390,2,241.68,1,2,1,4
156,2,1445.031,2,2,3,7
307,5,347.15,2,3,2,7
531,4,674.46,1,3,2,6
541,1,131.53,1,1,1,3
32,6,1308.1,3,3,3,9
16,13,2445.12,4,4,4,12
15,6,1120.74,4,3,3,10
11,21,6298.29,4,4,4,12
65,8,2081.19,3,3,3,9
36,4,247.95999999999998,3,3,1,7
108,16,5475.21,2,4,4,10
53,3,508.42,3,2,2,7
517,3,818.22,1,2,2,5
6,2,697.04,4,2,2,8
388,3,372.21,1,2,2,5
47,6,776.84,3,3,2,8
1,52,9790.34,4,4,4,12
312,2,518.42,2,2,2,6
45,4,1185.14,3,3,3,9
65,4,1025.17,3,3,3,9
26,1,164.34,3,1,1,5
652,2,713.39,1,2,2,5
387,2,522.67,1,2,2,5
29,3,280.53999999999996,3,2,1,6
40,3,1060.6100000000001,3,2,3,8
541,1,236.2,1,1,1,3
593,1,167.35,1,1,1,3
12,17,2144.13,4,4,3,11
89,14,3281.03,3,4,4,11
518,2,777.79,1,2,2,5
453,5,1039.8500000000001,1,3,3,7
24,6,2359.19,4,3,4,11
313,12,6212.2300000000005,2,4,4,10
568,2,288.1,1,2,1,4
40,9,1263.8,3,4,3,10
174,1,177.34,2,1,1,4
545,2,231.69,1,2,1,4
528,1,112.34,1,1,1,3
117,1,213.85,2,1,1,4
689,2,651.45,1,2,2,5
31,15,2446.36,3,4,4,11
381,2,427.18,2,2,2,6
597,1,301.26,1,1,1,3
253,3,689.49,2,2,2,6
59,10,2217.55,3,4,4,11
676,1,310.14,1,1,1,3
23,19,13370.86,4,4,4,12
5,11,1995.68,4,4,3,11
100,12,3021.77,2,4,4,10
25,10,3634.7000000000003,4,4,4,12
603,1,-306.66,1,1,1,3
33,17,4519.55,3,4,4,11
68,6,2948.22,3,3,4,10
37,6,941.62,3,3,3,9
52,3,810.5,3,2,2,7
16,1,122.64,4,1,1,6
74,2,1346.27,3,2,3,8
611,1,405.0,1,1,2,4
641,7,921.82,1,3,3,7
216,5,501.97,2,3,2,7
31,15,2112.17,3,4,3,10
9,5,2597.52,4,3,4,11
120,1,252.1,2,1,1,4
400,3,323.3,1,2,1,4
10,9,3063.78,4,4,4,12
400,11,1679.01,1,4,3,8
257,6,1678.88,2,3,3,8
17,16,3098.5,4,4,4,12
35,4,208.95,3,3,1,7
46,5,2570.85,3,3,4,10
488,1,152.2,1,1,1,3
43,11,6308.0,3,4,4,11
114,8,2259.3,2,3,4,9
165,7,1053.35,2,3,3,8
11,2,382.14,4,2,2,8
10,13,5772.07,4,4,4,12
197,17,4716.63,2,4,4,10
396,2,303.69,1,2,1,4
603,1,325.24,1,1,2,4
86,17,2183.13,3,4,4,11
179,6,2013.6100000000001,2,3,3,8
682,1,-13.14,1,1,1,3
386,3,1711.6599999999999,1,2,3,6
60,5,127.89999999999999,3,3,1,7
149,1,305.02,2,1,1,4
3,47,12749.14,4,4,4,12
51,3,413.55,3,2,2,7
75,1,349.7,3,1,2,6
395,1,194.95,1,1,1,3
301,7,162.07000000000002,2,3,1,6
19,2,396.92,4,2,2,8
430,2,215.88,1,2,1,4
151,2,486.82000000000005,2,2,2,6
539,3,153.15,1,2,1,4
405,2,556.1899999999999,1,2,2,5
152,1,232.6,2,1,1,4
494,3,281.26,1,2,1,4
1,13,9915.56,4,4,4,12
18,4,827.83,4,3,2,9
187,1,59.5,2,1,1,4
458,1,258.6,1,1,1,3
286,6,546.52,2,3,2,7
3,7,3119.44,4,3,4,11
183,3,409.04,2,2,2,6
438,1,11880.84,1,1,4,6
635,1,375.5,1,1,2,4
63,2,1259.5,3,2,3,8
59,1,172.25,3,1,1,5
396,1,212.78,1,1,1,3
25,8,3016.4500000000003,4,3,4,11
325,13,1948.32,2,4,3,9
4,164,190825.52,4,4,4,12
31,16,2770.73,3,4,4,11
422,4,2008.7,1,3,3,7
39,1,151.29999999999998,3,1,1,5
597,2,465.53000000000003,1,2,2,5
155,3,711.4,2,2,2,6
26,14,2586.21,3,4,4,11
437,2,159.55,1,2,1,4
446,1,135.18,1,1,1,3
318,3,99.5,2,2,1,5
5,10,2295.31,4,4,4,12
8,7,2035.33,4,3,3,10
303,2,631.17,2,2,2,6
267,5,3365.86,2,3,4,9
271,1,296.88,2,1,1,4
4,22,7512.81,4,4,4,12
32,3,509.52,3,2,2,7
219,15,1632.6100000000001,2,4,3,9
247,2,766.42,2,2,2,6
408,3,743.26,1,2,2,5
465,1,161.35,1,1,1,3
281,21,8438.34,2,4,4,10
269,1,138.28,2,1,1,4
32,11,1748.05,3,4,3,10
246,2,306.55,2,2,1,5
15,11,2815.25,4,4,4,12
117,4,799.9,2,3,2,7
36,2,741.54,3,2,2,7
120,11,5629.16,2,4,4,10
217,6,1209.2,2,3,3,8
637,1,213.01,1,1,1,3
50,11,1809.81,3,4,3,10
39,2,1079.6599999999999,3,2,3,8
29,9,1067.3,3,4,3,10
37,16,2855.17,3,4,4,11
436,5,676.4300000000001,1,3,2,6
136,2,752.6,2,2,2,6
219,2,610.59,2,2,2,6
28,1,491.86,3,1,2,6
411,3,484.53000000000003,1,2,2,5
509,6,3451.2900000000004,1,3,4,8
25,22,9472.81,4,4,4,12
5,12,2715.01,4,4,4,12
200,1,339.59999999999997,2,1,2,5
396,1,440.93,1,1,2,4
18,2,292.2,4,2,1,7
241,5,1597.77,2,3,3,8
72,4,666.33,3,3,2,8
17,14,3102.42,4,4,4,12
3,8,1340.1499999999999,4,3,3,10
95,2,1156.36,3,2,3,8
151,4,761.27,2,3,2,7
414,1,176.69,1,1,1,3
374,2,249.39999999999998,2,2,1,5
96,9,2268.35,3,4,4,11
701,1,-10.25,1,1,1,3
54,13,3563.6,3,4,4,11
288,1,296.25,2,1,1,4
124,7,1590.73,2,3,3,8
288,4,2094.57,2,3,3,8
152,3,447.05,2,2,2,6
4,10,2154.68,4,4,3,11
2,25,9147.2,4,4,4,12
675,1,195.55,1,1,1,3
12,19,9263.14,4,4,4,12
33,2,659.4100000000001,3,2,2,7
54,6,1358.6399999999999,3,3,3,9
50,6,1952.17,3,3,3,9
204,6,2165.76,2,3,3,8
63,6,5181.99,3,3,4,10
71,6,2953.26,3,3,4,10
653,1,352.821,1,1,2,4
495,1,190.35,1,1,1,3
2,96,35115.68,4,4,4,12
564,8,758.07,1,3,2,6
2,29,5766.63,4,4,4,12
422,4,785.37,1,3,2,6
64,10,5726.07,3,4,4,11
34,9,3094.72,3,4,4,11
397,2,301.54,1,2,1,4
82,1,345.0,3,1,2,6
591,1,1049.66,1,1,3,5
428,8,-340.17,1,3,1,5
1,73,56016.57,4,4,4,12
103,5,1116.54,2,3,3,8
516,1,161.13,1,1,1,3
7,3,735.82,4,2,2,8
251,4,770.88,2,3,2,7
13,14,1785.77,4,4,3,11
488,4,1542.09,1,3,3,7
10,15,2897.18,4,4,4,12
429,4,542.49,1,3,2,6
367,8,2736.41,2,3,4,9
76,9,1173.7,3,4,3,10
505,1,3.75,1,1,1,3
388,1,239.45999999999998,1,1,1,3
4,1,348.8,4,1,2,7
43,3,1047.68,3,2,3,8
66,3,383.95,3,2,2,7
647,1,96.0,1,1,1,3
547,1,126.03,1,1,1,3
388,4,836.3,1,3,2,6
499,1,289.7,1,1,1,3
437,4,1168.45,1,3,3,7
1,125,73573.47,4,4,4,12
117,13,2039.82,2,4,3,9
310,3,1679.56,2,2,3,7
67,1,324.8,3,1,1,5
138,24,25491.56,2,4,4,10
255,4,1319.1100000000001,2,3,3,8
31,9,3208.52,3,4,4,11
52,2,924.6,3,2,3,8
64,1,256.38,3,1,1,5
367,4,509.9,2,3,2,7
6,5,1747.66,4,3,3,10
305,3,679.7,2,2,2,6
29,4,899.51,3,3,3,9
184,4,591.75,2,3,2,7
42,3,539.0,3,2,2,7
40,12,2686.42,3,4,4,11
56,5,2239.07,3,3,4,10
22,10,7285.79,4,4,4,12
24,4,555.04,4,3,2,9
29,2,382.98,3,2,2,7
430,1,61.28,1,1,1,3
302,7,2631.1,2,3,4,9
418,5,640.4,1,3,2,6
145,7,1387.03,2,3,3,8
6,2,632.0,4,2,2,8
19,8,3358.55,4,3,4,11
33,14,3273.36,3,4,4,11
622,2,255.59,1,2,1,4
158,2,174.65,2,2,1,5
58,3,412.05,3,2,2,7
22,1,209.49,4,1,1,6
359,2,0.0,2,2,1,5
574,2,135.95000000000002,1,2,1,4
16,20,7009.18,4,4,4,12
18,3,602.4399999999999,4,2,2,8
159,2,701.36,2,2,2,6
577,3,247.89,1,2,1,4
25,8,1044.82,4,3,3,10
399,3,602.52,1,2,2,5
212,2,271.24,2,2,1,5
6,10,1966.09,4,4,3,11
486,1,139.95000000000002,1,1,1,3
416,1,651.4,1,1,2,4
253,1,85.0,2,1,1,4
59,19,5604.96,3,4,4,11
381,1,319.75,2,1,1,4
11,1,361.62,4,1,2,7
65,1,312.98,3,1,1,5
25,5,1290.34,4,3,3,10
720,1,310.72,1,1,1,3
92,8,3335.0,3,3,4,10
52,6,3443.8,3,3,4,10
88,2,1586.81,3,2,3,8
96,9,4516.76,3,4,4,11
607,2,170.45000000000002,1,2,1,4
9,2,1056.94,4,2,3,9
9,45,12158.21,4,4,4,12
501,5,1253.94,1,3,3,7
169,15,1058.88,2,4,3,9
393,7,997.11,1,3,3,7
57,1,216.17,3,1,1,5
326,2,515.86,2,2,2,6
1,6,1240.0,4,3,3,10
429,3,251.31,1,2,1,4
18,11,2534.04,4,4,4,12
245,6,1217.63,2,3,3,8
387,1,662.4000000000001,1,1,2,4
58,4,501.56,3,3,2,8
74,1,145.67000000000002,3,1,1,5
31,3,1015.29,3,2,3,8
7,2,3192.54,4,2,4,10
123,10,8111.57,2,4,4,10
2,18,5689.84,4,4,4,12
23,21,7804.95,4,4,4,12
513,6,891.32,1,3,3,7
120,9,1031.02,2,4,3,9
358,10,1989.2,2,4,3,9
54,14,4814.37,3,4,4,11
64,1,122.7,3,1,1,5
86,5,446.33,3,3,2,8
55,4,2473.06,3,3,4,10
646,1,395.5,1,1,2,4
21,17,4391.66,4,4,4,12
4,51,44392.5,4,4,4,12
3,6,1131.28,4,3,3,10
1,26,6342.74,4,4,4,12
7,14,1852.38,4,4,3,11
189,2,506.8,2,2,2,6
71,1,243.56,3,1,1,5
204,1,349.55,2,1,2,5
120,7,2169.05,2,3,3,8
93,8,1855.73,3,3,3,9
1,22,2858.73,4,4,4,12
378,3,863.5600000000001,2,2,3,7
27,6,1267.6499999999999,3,3,3,9
298,1,821.1,2,1,2,5
22,5,535.97,4,3,2,9
21,8,3923.62,4,3,4,11
626,1,388.55,1,1,2,4
50,3,1160.72,3,2,3,8
326,2,686.4,2,2,2,6
16,2,388.52,4,2,2,8
183,7,1608.09,2,3,3,8
72,20,5599.34,3,4,4,11
632,8,30411.26,1,3,4,8
400,1,165.45000000000002,1,1,1,3
37,2,332.64,3,2,2,7
571,3,244.45,1,2,1,4
409,1,42.0,1,1,1,3
692,1,136.8,1,1,1,3
80,5,2347.05,3,3,4,10
423,2,286.6,1,2,1,4
443,1,-127.66,1,1,1,3
57,22,4200.04,3,4,4,11
424,1,124.95,1,1,1,3
507,1,42.22,1,1,1,3
4,3,613.95,4,2,2,8
394,2,31.200000000000003,1,2,1,4
464,5,1260.51,1,3,3,7
50,2,272.04,3,2,1,6
50,2,1212.8400000000001,3,2,3,8
53,5,1326.03,3,3,3,9
432,5,1734.88,1,3,3,7
399,5,720.75,1,3,2,6
352,5,824.7,2,3,2,7
54,1,351.13,3,1,2,6
2,11,1682.08,4,4,3,11
36,6,616.65,3,3,2,8
23,1,223.85000000000002,4,1,1,6
75,3,689.96,3,2,2,7
11,4,464.57,4,3,2,9
169,14,3318.1,2,4,4,10
58,2,337.34,3,2,2,7
86,12,5250.78,3,4,4,11
295,1,307.4,2,1,1,4
109,2,608.7900000000001,2,2,2,6
264,1,922.1,2,1,3,6
597,3,6116.92,1,2,4,7
171,4,924.36,2,3,3,8
169,3,867.38,2,2,3,7
35,1,71.66,3,1,1,5
23,10,1533.66,4,4,3,11
17,4,839.14,4,3,2,9
22,17,10846.15,4,4,4,12
535,1,320.0,1,1,1,3
578,1,246.54,1,1,1,3
653,1,200.43,1,1,1,3
395,2,854.15,1,2,3,6
79,7,1745.43,3,3,3,9
65,1,90.6,3,1,1,5
361,5,536.86,2,3,2,7
3,6,2427.32,4,3,4,11
11,5,728.56,4,3,2,9
176,3,674.45,2,2,2,6
211,17,12790.891,2,4,4,10
7,12,6640.68,4,4,4,12
2,3,378.59,4,2,2,8
154,3,545.17,2,2,2,6
5,5,1026.42,4,3,3,10
418,3,458.25,1,2,2,5
372,12,4402.33,2,4,4,10
79,6,1076.18,3,3,3,9
21,2,230.22,4,2,1,7
385,2,498.7,1,2,2,5
22,3,362.8,4,2,2,8
308,18,2899.62,2,4,4,10
387,3,421.9,1,2,2,5
455,5,777.6600000000001,1,3,2,6
435,1,390.86,1,1,2,4
146,2,166.3,2,2,1,5
423,1,123.66,1,1,1,3
7,39,13212.77,4,4,4,12
386,2,846.55,1,2,3,6
9,18,4593.83,4,4,4,12
71,2,190.25,3,2,1,6
287,1,264.7,2,1,1,4
49,4,663.52,3,3,2,8
31,14,5327.29,3,4,4,11
207,4,1192.36,2,3,3,8
411,1,519.8100000000001,1,1,2,4
15,2,196.79000000000002,4,2,1,7
73,11,3326.83,3,4,4,11
60,9,753.12,3,4,2,9
401,2,327.39,1,2,2,5
39,13,4418.79,3,4,4,11
30,30,6993.41,3,4,4,11
27,13,1616.1200000000001,3,4,3,10
4,24,9982.31,4,4,4,12
17,1,320.46,4,1,1,6
380,2,682.54,2,2,2,6
20,11,4708.64,4,4,4,12
66,5,2026.06,3,3,3,9
213,1,311.3,2,1,1,4
12,7,850.63,4,3,3,10
30,3,219.5,3,2,1,6
32,24,6690.36,3,4,4,11
